"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"5306",259.636394066734,262.021659125657,271.415829049671,281.986065736713,287.851440453345,292.040581561481,294.18583995653,292.708024512081,288.852141332748,280.927345075194,272.459148649333,262.851427574745,3,47.13254603,-94.76976434
"5315",259.94332784316,262.003753764812,271.58566052994,281.445776399336,287.495552792257,291.861522797655,293.966844238789,292.416310660456,288.718888495775,280.911125144247,272.383197425234,263.017646322479,3,47.13254603,-93.94530621
"5339",263.090696803817,264.057031441116,271.197846196019,279.687202188873,285.51943195272,290.487983620185,293.655802453454,292.713317332738,288.223114850088,281.458313014096,274.078881341722,267.933873821023,3,47.13254603,-91.7467512
"5471",259.372391327838,262.13535474285,271.29925347316,282.265683502299,287.916171713843,292.188986499588,294.287481963002,292.852426062109,288.907968240558,281.037758454691,272.459485555153,262.678526146998,3,47.04093957,-95.22779663
"5472",259.419890670498,262.133125250375,271.331790791919,282.252111533086,287.92256689728,292.180970369039,294.274672291375,292.839794041417,288.895681374715,281.002003672059,272.440539597456,262.706149592472,3,47.04093957,-95.13619017
"5475",259.613926525178,262.147620148387,271.442892386822,282.212672654985,287.944083718403,292.184085088711,294.262726233711,292.824502803042,288.886779239442,280.926943469046,272.43829470337,262.8606381784,3,47.04093957,-94.8613708
"5477",259.776443623394,262.171078565755,271.524637327475,282.163567092824,287.944986154028,292.188606307169,294.264281241451,292.81344169812,288.889373061481,280.913137629537,272.472892577755,262.998457710829,3,47.04093957,-94.67815788
"5538",262.682171645713,264.520606093662,270.784152670176,279.619631692315,286.023650726944,290.704012888803,293.097587702535,292.32289331903,288.678778000262,282.025361479207,274.539439004745,266.907493790241,3,47.04093957,-89.09016389
"5639",259.371257013192,262.249860364877,271.28586208565,282.40142376963,287.96455935228,292.340771739347,294.426240640069,292.971747113565,288.972573187176,281.182642480136,272.566414995155,262.662091071458,3,46.94933311,-95.41100955
"5645",259.707763577354,262.298281656824,271.514873656433,282.422716815077,288.042819585058,292.327045202933,294.347899604035,292.926046996854,288.924604047789,280.92083291379,272.444409349935,262.938340842563,3,46.94933311,-94.8613708
"5649",260.00674727209,262.330100199222,271.675740058049,282.222343446219,287.926210559491,292.302345811775,294.318623874037,292.86523901947,288.923093282653,280.950834286809,272.488547718178,263.1590863114,3,46.94933311,-94.49494496
"5819",260.102204683734,262.477515187141,271.767197282854,282.357864959383,287.95210036728,292.432611910465,294.415003055044,292.951467431412,288.977905570359,281.031519316963,272.530953821697,263.223807884877,3,46.85772665,-94.49494496
"5857",263.125040832933,264.186923409704,271.626709031435,280.285573583935,286.275189636852,291.353619547972,293.754298514387,292.711159567799,288.69309989763,281.943782791623,274.43287604022,267.40918751187,3,46.85772665,-91.01389953
"5987",260.199131236602,262.637206382725,271.807568240477,282.660776558812,288.098869291042,292.579428146444,294.532148841866,293.075567819544,289.029262920813,281.095010003099,272.604978359988,263.240828341505,3,46.76612019,-94.67815788
"5992",260.164489924512,262.571783316729,271.925011105692,282.142851172083,287.783129446042,292.504783928067,294.507988024572,292.959950168419,289.034925270933,281.204159924957,272.594527643354,263.324577722722,3,46.76612019,-94.22012559
"5994",260.10231389803,262.518559632833,271.93995648522,281.96425614713,287.664820721192,292.427883865965,294.447613073259,292.869711860687,289.017188893762,281.213535422605,272.5485924771,263.334665482405,3,46.76612019,-94.03691267
"6027",262.753517666222,263.942112489488,271.725149509769,280.569885388642,286.573018830891,291.635313527616,293.884034574711,292.72138708394,288.7934814931,281.987345150367,274.318664508419,266.808516231461,3,46.76612019,-91.01389953
"6051",262.225957818961,263.92835736875,271.131456351065,280.29612598108,286.64118464331,291.395000831847,293.576925277313,292.457860216917,288.835988681391,282.068485022012,273.95191095885,265.853857478308,3,46.76612019,-88.81534452
"6052",262.235646279083,263.887205886518,271.152860939912,280.248473699969,286.604482795139,291.342148572773,293.566327205356,292.457021711995,288.806396003875,282.044140476296,273.95785313075,265.902932340433,3,46.76612019,-88.72373806
"6053",262.280696741692,263.677650372847,271.179498224236,280.209468901265,286.560758832199,291.286987117894,293.560303596627,292.453431236903,288.788656624336,282.027807869969,273.961596470824,265.955463652907,3,46.76612019,-88.6321316
"6055",262.486246580799,263.157137726808,271.274014197426,280.101822896312,286.422259165567,291.168451203755,293.529981728942,292.460658359769,288.774410704919,282.031274965886,274.010311346961,266.133919622606,3,46.76612019,-88.44891868
"6162",260.265733769931,262.689514128623,272.002847483644,282.213354348534,287.811666160428,292.616049225058,294.604525190565,293.0412384479,289.089342633905,281.313183999732,272.687549567495,263.402298486706,3,46.67451373,-94.22012559
"6194",262.177506365329,263.428758948069,271.819079915796,281.077492303827,286.942930082535,291.867839390336,294.069709605,292.765241852412,288.835381278419,281.858732172401,274.001642878988,266.067790535505,3,46.67451373,-91.2887189
"6195",262.258484989845,263.507636856248,271.820205643106,281.011532293441,286.921768667303,291.876763380065,294.040385369861,292.750248943329,288.846693984002,281.915887350216,274.081039992431,266.140157596509,3,46.67451373,-91.19711245
"6213",261.946670439194,263.880928201389,271.092951327366,280.530584108472,286.910692759363,291.872730219653,293.582880797204,292.394919205278,289.006019021694,282.192883016441,273.761482647766,265.184091376866,3,46.67451373,-89.54819619
"6216",261.960583120458,263.862029625081,271.109652281576,280.530701543519,286.848933344479,291.769048757866,293.597310778125,292.405792994419,288.931328741678,282.127759356191,273.732399467574,265.274597087572,3,46.67451373,-89.27337681
"6217",261.979682964056,263.859121041021,271.123304977479,280.551906258117,286.837195673623,291.737298252602,293.599560982312,292.40570124303,288.919621340863,282.125142171593,273.72465700675,265.292063071169,3,46.67451373,-89.18177035
"6253",262.912290641051,261.636838383083,270.535233945632,278.447242489059,284.619097161238,289.714227243829,292.292036207734,291.808618324514,287.961331360081,281.499241759586,274.362320976674,266.863035250199,3,46.67451373,-85.88393784
"6333",260.377443325384,262.773114588685,272.077086038174,282.218255656775,287.800190446528,292.66521714756,294.627846477694,293.051231809093,289.110202591956,281.416181374793,272.769842496037,263.50306393416,3,46.58290727,-94.12851913
"6351",259.931914834991,262.348034920845,271.876449009472,281.561024826528,287.110917627338,291.939538181993,294.1358998909,292.508965949065,288.660972541685,281.251265760111,272.401081356898,263.561045004699,3,46.58290727,-92.47960287
"6352",260.042005279063,262.394764716164,271.866715339991,281.552257710895,287.103459006389,291.94154203994,294.15886192075,292.541796212993,288.670235401551,281.279901196883,272.490699158889,263.659042366558,3,46.58290727,-92.38799641
"6364",261.894135462567,263.182583729104,271.917390806032,281.38128160608,287.187381967812,292.07194510547,294.112175530419,292.736055266093,288.902507185058,281.887974376636,273.902504201623,265.534736609975,3,46.58290727,-91.2887189
"6365",261.969663185787,263.251528770382,271.909163780104,281.30631270267,287.148054605648,292.080455822995,294.095548531331,292.727353415921,288.919198973803,281.939671983661,273.977833489123,265.591349478407,3,46.58290727,-91.19711245
"6383",261.594308328046,263.591792193095,271.057483687799,280.716914508364,287.034966810868,291.972095742518,293.617886241854,292.340881086035,288.971416550829,282.102237276623,273.482131847192,264.668431504139,3,46.58290727,-89.54819619
"6390",261.80727121009,263.655936775225,271.194022076322,280.712218173071,286.798040836146,291.647933904174,293.592695397023,292.371040741306,288.764169320042,281.976106316586,273.518194834829,265.096451116049,3,46.58290727,-88.90695098
"6534",261.634755093417,262.9569873086,272.011583661356,281.659677123472,287.410100045451,292.260133668579,294.164359339535,292.722416652058,288.967250199433,281.919913248472,273.816839577116,265.030551028164,3,46.49130082,-91.2887189
"6539",261.825936035824,263.291569064588,271.881681092125,281.152659272346,287.135704045509,292.212823491273,293.977192260896,292.570553538947,288.977173875523,282.09085235066,274.012803353644,265.12902581769,3,46.49130082,-90.83068661
"6540",261.843115914215,263.352257853051,271.850456148588,281.042580353951,287.080328414572,292.208699076444,293.941073834576,292.54013636347,288.983845159657,282.123830568034,274.02220831269,265.10386215491,3,46.49130082,-90.73908015
"6541",261.846461850847,263.397348549782,271.790551394213,280.926548520062,287.015176893426,292.182649316572,293.88357281359,292.497685493289,288.975653512537,282.138865057312,274.010780305382,265.071329948875,3,46.49130082,-90.64747369
"6556",261.461508516567,263.464351861319,271.127631837532,280.828912811589,286.938388672812,291.864972933005,293.600445840255,292.282784327146,288.782235175919,281.92895899258,273.277549906201,264.538202705442,3,46.49130082,-89.27337681
"6604",261.550171924697,262.724798014301,270.074464483236,278.947223622454,285.443774659444,290.118874369829,292.626989117319,291.916743178338,287.854827658116,281.265626237722,274.364279896921,266.468725813067,3,46.49130082,-84.87626679
"6700",261.030368206553,262.457448355831,272.151486735586,282.182934660849,287.7061223011,292.408348542215,294.282077523155,292.708899627056,288.954291416018,281.730010450262,273.369621740451,264.164188880745,3,46.39969436,-91.65514474
"6701",261.144018034451,262.518546346204,272.127764973889,282.126124361451,287.703507957199,292.424990678032,294.283133109248,292.725689053032,288.975144665602,281.774638117935,273.472035337414,264.27805962809,3,46.39969436,-91.56353828
"6702",261.241056018813,262.585109431227,272.113090958836,282.071259299429,287.692083593009,292.433277208164,294.272806321243,292.732960685993,288.995956839975,281.824662043938,273.568935493905,264.369562131525,3,46.39969436,-91.47193182
"6708",261.56895045219,262.994661296125,271.916677823109,281.436478473966,287.297376418877,292.289775080007,294.017235310357,292.551271970778,288.960198884076,282.011796709093,273.846640487014,264.677680222312,3,46.39969436,-90.92229307
"6732",261.678044999231,263.474130614613,271.334266103262,280.982238580895,286.889829209664,291.655775131831,293.626602945549,292.388987124935,288.580467404463,281.708537610003,273.319082659477,264.82147032288,3,46.39969436,-88.72373806
"6777",261.306808187648,262.553551294579,269.981086549014,279.118729742577,285.687325303229,290.36452802891,292.883789680785,291.987807380405,287.849434353403,281.273685626417,274.389831834641,266.418494150192,3,46.39969436,-84.60144742
"6866",260.672298234206,262.185086574106,272.412895728755,282.584376053719,287.84348719478,292.441852639044,294.269303729148,292.67401026391,288.880772859213,281.679991165741,272.975543324079,263.600315719262,3,46.3080879,-92.02157058
"6868",260.829348466368,262.220598693583,272.316035105634,282.526361378611,287.844377233773,292.457220225155,294.269340863104,292.683499026285,288.930788099079,281.711835970515,273.160428626611,263.702205026243,3,46.3080879,-91.83835766
"6872",261.169276201336,262.39891012903,272.148388033016,282.272631234861,287.796701659769,292.486534849623,294.263049533521,292.696818976768,288.985630070528,281.805988058503,273.499787878431,263.995190643481,3,46.3080879,-91.47193182
"6884",261.260531123884,262.839883519664,271.387262692567,280.998016278642,286.924124012211,292.011979001183,293.637329324037,292.27816479219,288.785916416669,281.827648626031,273.52541598035,264.283255479713,3,46.3080879,-90.37265432
"6902",261.659212155896,263.45519966459,271.393309244183,281.152651411559,286.994204652326,291.736213520315,293.671838280185,292.40347041475,288.55954474719,281.657979479117,273.222207185083,264.624757883687,3,46.3080879,-88.72373806
"6905",261.984126563405,263.551893661336,271.516158893606,281.046907259028,286.88718399515,291.651640771384,293.696431631234,292.481699303444,288.554669601574,281.655810437889,273.387090663625,264.954433917359,3,46.3080879,-88.44891868
"7034",260.760076560778,262.282218064023,272.636747024933,282.835486370231,288.093158418056,292.677208338072,294.448617055111,292.875531673609,288.977019244657,281.856769352994,273.018259907444,263.627940141271,3,46.21648144,-92.20478349
"7035",260.789190875676,262.239116183965,272.584347606549,282.830631642176,288.080048772037,292.644409409803,294.41341454222,292.844663024558,288.974997730565,281.837876189522,273.063363469505,263.604863796558,3,46.21648144,-92.11317703
"7038",260.924479996252,262.195088919252,272.410448287405,282.722841607577,288.003557190868,292.565057241403,294.323823767646,292.757026442583,288.96902221056,281.78403313967,273.216438439312,263.591518102134,3,46.21648144,-91.83835766
"7039",260.987770824028,262.207659295558,272.35113119691,282.661078475926,287.968033958137,292.54682722347,294.303385048164,292.73586561975,288.9690488666,281.776750254599,273.272928097345,263.610568778535,3,46.21648144,-91.7467512
"7048",261.248179463322,262.618217015921,271.866936609586,281.73220620446,287.372900625116,292.270279890961,293.962930759308,292.472465102731,288.861460827894,281.841893600154,273.544497846449,263.970698155875,3,46.21648144,-90.92229307
"7076",261.948638051764,263.486951943572,271.541717741546,281.162335649799,286.966679315972,291.736994782884,293.729022116833,292.496608717248,288.514487192551,281.584701026435,273.293128370752,264.810162658822,3,46.21648144,-88.35731222
"7085",263.369415438072,262.674762872188,271.591806538329,280.232939978873,285.768681835162,290.996364188417,293.401197439248,292.505540753641,288.46302095065,281.773311658454,273.927460599421,266.138752939255,3,46.21648144,-87.5328541
"7096",264.958871857431,263.470465832155,271.642990647926,279.237728093997,284.385700979005,289.997960802188,292.951828670572,292.548862126375,288.632169820167,282.380587563432,275.035356045218,268.126630097979,3,46.21648144,-86.52518305
"7202",260.9146937181,262.497822399333,272.771356787366,283.012369089769,288.288534349699,292.930676287315,294.649067676514,293.095549903968,289.122855077859,282.055334649432,273.124989073157,263.737835191817,3,46.12487498,-92.38799641
"7203",260.936169435023,262.440342633597,272.729690417366,283.014780656281,288.285233959352,292.901518551581,294.616378233907,293.066873149893,289.10971509356,282.042300846201,273.159659347428,263.705079922468,3,46.12487498,-92.29638995
"7204",260.959520278785,262.386067855618,272.687877025438,283.012701385324,288.278933713056,292.867943164479,294.580531760542,293.035880171456,289.09643651747,282.027348967321,273.194380650435,263.670242278644,3,46.12487498,-92.20478349
"7207",261.041229121757,262.265710394176,272.532806452477,282.925812863287,288.174727873032,292.720516554042,294.438654056569,292.895608268188,289.03697723288,281.916139873784,273.262874529157,263.58288148294,3,46.12487498,-91.92996412
"7208",261.083300047553,262.238851211861,272.478034894646,282.885496536312,288.139923309039,292.679464522831,294.396026714625,292.855296027537,289.020903673912,281.882714259231,273.299694622116,263.566941433303,3,46.12487498,-91.83835766
"7211",261.186024593625,262.20806541038,272.295309983551,282.683061934722,287.989819920567,292.567403921644,294.279294868854,292.73492671337,288.983507001215,281.813221209552,273.400187639382,263.535372446623,3,46.12487498,-91.56353828
"7218",261.036997122537,262.342936797081,271.801994495225,281.904172925324,287.423558044387,292.248075679866,293.931563964426,292.439812596889,288.807171904602,281.716712093469,273.376677048586,263.590639754583,3,46.12487498,-90.92229307
"7236",261.222277461912,262.973524134718,271.30826811231,281.384656863873,287.024126788345,291.814169343699,293.631232449197,292.267884658491,288.551602307486,281.57297507617,273.032592594891,264.105196767796,3,46.12487498,-89.27337681
"7255",263.520897012472,262.886152737782,271.710620868711,280.413731134969,285.895925241377,291.079226771593,293.512682831669,292.622250793255,288.532194024238,281.80948289888,273.993190574456,266.292267397808,3,46.12487498,-87.5328541
"7371",261.100550492451,262.665215227674,272.813004221144,283.176345701528,288.440123583368,293.134724632468,294.810475111917,293.274140905329,289.272664397833,282.237314544772,273.269194465706,263.787136807718,3,46.03326852,-92.47960287
"7372",261.10948798116,262.604227075963,272.769862334345,283.172132741065,288.429388482442,293.094090946748,294.771548942484,293.238200863981,289.247889762708,282.223013602154,273.292928915264,263.750175552273,3,46.03326852,-92.38799641
"7373",261.128043040928,262.550669230213,272.727289716245,283.163209449429,288.419759987176,293.053013093551,294.728393797067,293.204056545859,289.222828115146,282.203711542938,273.31640100463,263.719214468127,3,46.03326852,-92.29638995
"7375",261.177699137375,262.456453463641,272.645678187141,283.134361346682,288.376331586227,292.955242210134,294.632767603593,293.111308658553,289.169935192139,282.131696741417,273.354192183512,263.660798151271,3,46.03326852,-92.11317703
"7377",261.234448390993,262.375992766697,272.558218694164,283.066511887207,288.287852218171,292.839807679826,294.51883705525,293.008341230366,289.10550659112,282.039833453846,273.373882792583,263.605436069275,3,46.03326852,-91.92996412
"7379",261.279923509981,262.305399271741,272.456857337576,282.966911952099,288.192898581736,292.733800490178,294.418206344822,292.907709603637,289.061522806319,281.958168258154,273.411335910428,263.549588872414,3,46.03326852,-91.7467512
"7381",261.291334073748,262.255191608153,272.3462772836,282.818916739738,288.060651495139,292.613783167551,294.300353808384,292.790938135329,289.007682142718,281.873815531043,273.429397134081,263.484162429889,3,46.03326852,-91.56353828
"7382",261.268829319329,262.247164355405,272.287825425213,282.722381251019,287.962804027188,292.535754939581,294.230302940324,292.720074778576,288.9688903076,281.824551687994,273.403396776722,263.447436565044,3,46.03326852,-91.47193182
"7415",261.792585482116,263.523405217352,271.644433784329,281.605262396605,287.242818543877,291.918556626755,293.867071492806,292.564381866854,288.428832187275,281.350226863654,272.975707517507,264.505040712972,3,46.03326852,-88.44891868
"7424",263.532976368322,263.128977088907,271.843792508,280.714684343287,286.091130993553,291.233208541012,293.635296688255,292.703124539375,288.600551158139,281.865785517469,274.03463205015,266.287875429248,3,46.03326852,-87.62446055
"7429",264.096117223361,263.470276122197,271.855942442965,280.256475673302,285.639032955613,290.940912723338,293.634215450438,292.886695237412,288.734805469875,282.072075881389,274.418471703852,267.112208355949,3,46.03326852,-87.16642826
"7430",264.280501722632,263.585517656359,271.873600867185,280.161451126373,285.518318989282,290.853020199067,293.617181750713,292.924967690708,288.787646811074,282.158942543762,274.54010119941,267.335345952461,3,46.03326852,-87.0748218
"7588",262.389657111347,263.924089248352,271.925251901516,281.735323875926,287.43288814772,292.166312157472,294.142878105752,292.894887399343,288.576564197549,281.442262914086,273.201410211132,264.982215610296,3,45.94166206,-88.17409931
"7593",263.276128672859,263.460847094924,271.956373651227,281.049654501435,286.566669057581,291.637897107113,293.97410274678,292.917801081857,288.679492945493,281.832533903404,273.908259817206,266.065187107877,3,45.94166206,-87.71606701
