"","mod.alb.jan","mod.alb.feb","mod.alb.mar","mod.alb.apr","mod.alb.may","mod.alb.jun","mod.alb.jul","mod.alb.aug","mod.alb.sep","mod.alb.oct","mod.alb.nov","mod.alb.dec","convert.code","Lat","Lon"
"5812",0.2665975,0.265825,0.20977,0.13647,0.1326275,0.153545,0.1523175,0.145,0.1350225,0.12423,0.1216925,0.1858,3,46.5179658,-94.12934479
"5836",0.2519575,0.260385,0.2115775,0.133003333333333,0.1330875,0.1533025,0.1520975,0.14581,0.136685,0.124973333333333,0.1202675,0.153535,3,46.72416957,-91.63629239
"5842",0.230635,0.2584275,0.2135125,0.132936666666667,0.133245,0.1532875,0.1520725,0.14608,0.1373975,0.125276666666667,0.11954,0.14778,3,46.76740244,-91.01029935
"5843",NA,NA,NA,NA,0.1332725,0.1532875,0.1520675,0.1461225,0.1375175,NA,NA,NA,3,46.77428302,-90.90587322
"5949",0.265685,0.26501,0.20809,0.135063333333333,0.132595,0.153655,0.15245,0.1449875,0.1350575,0.124213333333333,0.1235775,0.1853825,3,46.40731205,-94.52834808
"5968",0.25881,0.2615925,0.2121675,0.132546666666667,0.1328975,0.15341,0.15224,0.14538,0.1357,0.124606666666667,0.122005,0.181055,3,46.5817039,-92.56124622
"5970",0.2497925,0.25771,0.2042025,0.132366666666667,0.13294,0.15339,0.1522225,0.1454575,0.135875,0.12468,0.1224925,0.1561325,3,46.59813008,-92.35348784
"5979",0.2595175,0.260195,0.2129325,0.132956666666667,0.1331475,0.1533375,0.152165,0.1458425,0.1367875,0.125053333333333,0.1202025,0.160485,3,46.66747564,-91.41710105
"5980",0.268273333333333,0.260035,0.211075,0.132903333333333,0.133175,0.1533325,0.15216,0.14589,0.1369075,0.125106666666667,0.1193075,0.178225,3,46.67471809,-91.3129159
"5981",0.265876666666667,0.259885,0.21334,0.132093333333333,0.1332075,0.1533325,0.1521575,0.145935,0.1370325,0.12516,0.11941,0.17529,3,46.68186787,-91.20870355
"5982",0.2630775,0.25974,0.21347,0.132453333333333,0.133235,0.15333,0.1521525,0.14598,0.137155,0.125216666666667,0.1207425,0.1637225,3,46.68892495,-91.10446435
"6110",0.20404,0.24731,0.195975,0.13239,0.13293,0.153445,0.15231,0.145375,0.1357,0.124646666666667,0.1224325,0.1482025,3,46.51858768,-92.44544457
"6118",0.248395,0.2601075,0.203375,0.13212,0.1331125,0.1533875,0.152255,0.1457025,0.13646,0.12496,0.11966,0.1501425,3,46.58125593,-91.61451264
"6120",0.258165,0.26016,0.21298,0.132473333333333,0.13316,0.1533775,0.1522425,0.1457925,0.136675,0.125046666666667,0.1193825,0.15295,3,46.59599942,-91.40649193
"6121",0.257175,0.25995,0.211135,0.132136666666667,0.133185,0.1533725,0.1522375,0.1458375,0.1367825,0.12509,0.1193975,0.1583525,3,46.60323242,-91.30244026
"6122",0.265673333333333,0.259845,0.2111475,0.132646666666667,0.133215,0.1533725,0.152235,0.1458825,0.136905,0.125146666666667,0.12156,0.1687,3,46.61037288,-91.19836151
"6123",0.264905,0.2596975,0.21144,0.13241,0.1332425,0.1533675,0.15223,0.145925,0.1370275,0.1252,0.1234675,0.1793975,3,46.61742076,-91.094256
"6145",0.2292175,0.1966075,0.1843725,0.13209,0.1339825,0.1534025,0.1522075,0.1466225,0.13963,0.12674,0.1220225,0.1537025,3,46.74898385,-88.79785839
"6146",0.2132025,0.2275375,0.1878275,0.13227,0.1340175,0.1534,0.1522125,0.1466225,0.139695,0.126833333333333,0.12094,0.155785,3,46.75389346,-88.69323219
"6148",0.241335,0.2534025,0.2072475,0.132426666666667,0.134085,0.1534075,0.1522275,0.1466125,0.13982,0.127003333333333,0.123605,0.1845975,3,46.76343271,-88.48392469
"6254",0.254775,0.26086,0.2094275,0.13232,0.1330075,0.15346,0.152365,0.1454525,0.1358675,0.124756666666667,0.122965,0.177505,3,46.47137273,-92.12255608
"6258",0.2416025,0.256545,0.194175,0.132126666666667,0.1331,0.153435,0.1523375,0.145615,0.136245,0.124903333333333,0.119685,0.15454,3,46.5022978,-91.70750053
"6259",0.2570575,0.2597475,0.1965975,0.1322,0.1331225,0.15343,0.15233,0.145655,0.136345,0.124946666666667,0.1219575,0.15717,3,46.50979847,-91.60366498
"6260",0.262445,0.2603,0.2076675,0.132103333333333,0.1331475,0.1534225,0.152325,0.1456975,0.136455,0.124996666666667,0.1205725,0.1558575,3,46.51720681,-91.49980144
"6262",0.243675,0.259965,0.2107125,0.132756666666667,0.1331975,0.1534125,0.152315,0.145785,0.13667,0.125083333333333,0.120265,0.1522,3,46.5317464,-91.29199172
"6279",0.2658825,0.2584,0.21389,0.136643333333333,0.1337475,0.153425,0.1522675,0.1464775,0.1387975,0.126133333333333,0.1202825,0.1795675,3,46.64037821,-89.52152494
"6281",0.268813333333333,0.25854,0.212075,0.133433333333333,0.1338175,0.1534275,0.152265,0.1465275,0.139035,0.126293333333333,0.118583333333333,0.1892,3,46.65139476,-89.31279962
"6282",0.2614775,0.2584625,0.2086275,0.133306666666667,0.133855,0.1534325,0.152265,0.146545,0.13915,0.12638,0.121755,0.182155,3,46.65676349,-89.20840606
"6403",0.25407,0.2593875,0.20617,0.131933333333333,0.1332125,0.153455,0.1523875,0.1457375,0.13656,0.12508,0.11926,0.1513075,3,46.46025991,-91.28157017
"6408",0.245323333333333,0.2591825,0.1852675,0.131813333333333,0.1333575,0.1534475,0.1523675,0.1459525,0.13714,0.12533,0.119165,0.156715,3,46.49494569,-90.76224513
"6409",0.2099825,0.237755,0.1911675,0.131786666666667,0.1333875,0.153445,0.1523625,0.145995,0.137255,0.125383333333333,0.12026,0.1683,3,46.50160552,-90.65830319
"6539",0.2629175,0.260995,0.192275,0.132013333333333,0.1331,0.1535275,0.1524975,0.14548,0.135955,0.124873333333333,0.1216175,0.179405,3,46.35182711,-91.78916721
"6540",0.2632075,0.2607925,0.191015,0.132003333333333,0.1331225,0.15352,0.1524875,0.14552,0.13605,0.124906666666667,0.1201,0.1694275,3,46.35940043,-91.68562443
"6542",0.25661,0.2584075,0.19532,0.131926666666667,0.1331725,0.1535075,0.152475,0.1456025,0.1362425,0.12499,0.119055,0.1562975,3,46.37427088,-91.47845485
"6547",0.262945,0.25943,0.19373,0.13179,0.1333075,0.1534875,0.15245,0.145815,0.13678,0.12521,0.12105,0.156275,3,46.40983423,-90.96005646
"6568",0.2518525,0.2464075,0.1975075,0.13269,0.134025,0.1535175,0.1524025,0.146465,0.1392675,0.126743333333333,0.1238275,0.184146666666667,3,46.53395567,-88.77624079
"6665",0.2669075,0.264505,0.2053425,0.132526666666667,0.13283,0.1537275,0.1527125,0.14502,0.135145,0.12454,0.1209675,0.17847,3,46.15592781,-93.32572174
"6678",0.2541925,0.256935,0.2050275,0.13215,0.133065,0.1535875,0.152585,0.1453625,0.1357025,0.12481,0.1203275,0.1805525,3,46.26498419,-91.98487648
