"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"7381",0.379779791745364,0.0607093279004403,0.451070310097236,0.578530132314825,0.344441695995442,-0.00166902934029167,-0.137012734337929,-0.0532951946227058,0.131140231956067,0.207155915043245,0.255400342210635,0.450501412238452,3,46.03326852,-91.56353828
"7382",0.359277144916632,0.0775589422268581,0.465195434446741,0.569566627500024,0.339418586990803,0.0047128407592254,-0.127981399291684,-0.0465122999745518,0.144554401330993,0.203217163123497,0.240314222414327,0.427961710863428,3,46.03326852,-91.47193182
"7415",0.179753090828683,0.374802187761588,0.221068470791693,0.711609774212945,0.556824027939797,0.045647275650424,0.0815382427662144,0.112327920363441,0.139599579756975,0.291043184641978,0.0694444896782329,0.0167824690184943,3,46.03326852,-88.44891868
"7424",1.39195044209958,-0.441910780500052,0.236054005527762,0.18635644799383,-0.334970653877292,-0.764780758398103,-0.347767917085662,-0.0952146994282543,0.21288049308572,0.77077253743829,0.766324799773145,0.95877595827551,3,46.03326852,-87.62446055
"7429",1.77165921524772,-0.224083604564782,0.286613996729159,0.0417035174845637,-0.502429709664398,-0.972917905349505,-0.368455499652782,0.00999053547224094,0.345591098601858,0.926239451216077,0.894903298067163,1.34904946510414,3,46.03326852,-87.16642826
"7430",1.92752327956015,-0.119803757108798,0.325688632289371,0.00556263912039867,-0.568030310671247,-1.0300010264699,-0.378689027692133,0.0436895756157583,0.405635044078679,1.00409626404945,0.969455371696768,1.4911143019375,3,46.03326852,-87.0748218
"7588",0.363815036678261,0.469326264520816,0.216491897407423,0.659305263919748,0.663615203136601,0.118126098520861,0.163156060347262,0.194069325736109,0.177690900856476,0.338224629824083,0.122998469932838,0.0706674247106207,3,45.94166206,-88.17409931
"7593",0.959919261678237,-0.241830106002283,0.16069981289354,0.228568708148089,-0.0110789633796458,-0.472400126437492,-0.131941338819445,0.0144195459236585,0.210773622842567,0.67602379289508,0.578106346842617,0.666477666539379,3,45.94166206,-87.71606701
"7708",0.0339079976898233,0.0568882741481502,-0.416261980004606,-0.275513815185207,-0.752736688634229,-0.692016850469884,-0.653057424180531,-0.599608743664305,-0.357572237590261,-0.166111416608032,-0.246278662067084,0.13498643568056,3,45.8500556,-92.75442225
"7714",0.267818268548638,0.11924824018746,-0.134677727361122,0.0470019661419769,-0.231777852939786,-0.339227747090263,-0.421971018673617,-0.353410412722212,-0.174999729743149,0.0483119535339824,-0.0328657147569515,0.347995336208328,3,45.8500556,-92.20478349
"7733",-0.31273603292135,-0.245811499976867,0.0474101439281753,0.414707095617302,0.235772594513833,-0.0686005727893644,-0.276729600486135,-0.105921432298601,0.118258156307888,0.159535913555544,0.0128464974467306,0.116618408840282,3,45.8500556,-90.46426078
"7734",-0.356009981090267,-0.291948273986122,-0.00258042048142215,0.464261841743792,0.244583354594909,-0.0682015047453888,-0.296457908293974,-0.119241963430568,0.105815743675919,0.158575328342579,0.00616395647455192,0.110959802881951,3,45.8500556,-90.37265432
"7764",0.828543783113446,0.205229893974547,0.0318391199120924,0.0980113203858082,0.146518153078659,-0.426481281511599,-0.0491140266643697,0.0635444506828549,0.201327201724553,0.593349334820971,0.423235306803235,0.632222226983799,3,45.8500556,-87.62446055
"7776",2.77244359294906,0.84656187751159,0.568755079402763,-0.649114063456807,-1.03115351916665,-1.42628934788894,-0.745706356148162,0.00287431469678268,0.63805650221525,1.43193922309877,1.70514526722923,2.3981330224259,3,45.8500556,-86.52518305
"7903",-0.269696763847207,-0.185342573212949,0.116785525405078,0.317704059706784,0.186297760451396,-0.0905911776273456,-0.275271749555543,-0.105370874125015,0.115576409821756,0.138550866185255,0.000938113622737546,0.150236699317077,3,45.75844915,-90.46426078
"7908",-0.158075289231533,-0.333450681569389,-0.00771909004163263,0.614382921358015,0.273487208796325,-0.0766421570485818,-0.344217129884271,-0.164227584307866,0.0575613258749854,0.127221121706725,-0.0742150183657486,-0.031679024094899,3,45.75844915,-90.00622848
"7927",0.295557561462942,0.355733718662009,0.146375655365716,0.637359739830231,0.611580245196706,0.02114004156482,0.00317282081715575,0.0718454617731368,0.137954380921315,0.309144806231529,0.115971272506954,0.0243490276319562,3,45.75844915,-88.26570577
"7930",0.398060582995356,0.357777838400466,0.0988357385463132,0.484178379413606,0.573304088483781,-0.0513604536226921,0.0978399746898049,0.133253883828672,0.209001453775443,0.377825383623417,0.14897610633102,0.22924735046297,3,45.75844915,-87.99088639
"7931",0.448458526085687,0.346689372155083,0.0562707623402616,0.39130846657406,0.517009399895812,-0.111538403967586,0.105174427027805,0.129359436256948,0.217621886192148,0.384095754694442,0.161310628034698,0.306884026592627,3,45.75844915,-87.89927993
"7933",0.638376075803251,0.36444273166893,-0.0462579744190634,0.154969199104926,0.366475202048605,-0.291356174143459,0.0325078636550415,0.0700635684374902,0.18185200907169,0.437952926089508,0.171089852715284,0.51308695637033,3,45.75844915,-87.71606701
"8081",-0.115487335557873,-0.331459488097209,0.0635977987546426,0.61657006871917,0.248130381909732,-0.138268070946765,-0.384889825388882,-0.219557690372653,-0.00107454772683013,0.128976567095606,-0.0416793187060307,-0.0792567274050953,3,45.66684269,-89.73140911
"8097",0.234323880076431,0.270233673777852,0.107207796935199,0.590776882962984,0.553329587893529,-0.053363824481437,-0.0871616075787074,-0.00252431469442627,0.106480887240707,0.3207833527253,0.114257901354165,0.0572884109698748,3,45.66684269,-88.26570577
"8098",0.251093445689833,0.286008611474472,0.0929219284467422,0.55633782229944,0.580989310601808,-0.0375129178125349,-0.0448992553518792,0.0162736093403169,0.129918056993006,0.324405745138904,0.119557118386581,0.0909083150509673,3,45.66684269,-88.17409931
"8100",0.32665187084956,0.275459985043994,0.0466716154282381,0.439591942098787,0.549957791713041,-0.102899040870398,0.00313367206013027,0.0428296627522968,0.167996647974519,0.362480837086423,0.141850319798607,0.222471773550978,3,45.66684269,-87.99088639
"8101",0.383010496229133,0.286388312893564,0.0260069461435251,0.368669291219135,0.514985265868063,-0.147521821636587,0.0239529351272836,0.0533977668333137,0.193332957685186,0.377208436953708,0.146158610895839,0.308267020803271,3,45.66684269,-87.89927993
"8102",0.44766854315742,0.287617516430544,-0.0125112484328724,0.27158493717593,0.44642627509262,-0.223270364087966,0.0242980555995587,0.0546698757685817,0.201015783106413,0.393697208216054,0.156609999710668,0.426445859388934,3,45.66684269,-87.80767347
"8251",-0.154849081692078,-0.213843035643492,0.167110294967586,0.528259049768508,0.184145724236089,-0.190700764131975,-0.389341711502311,-0.255416526763838,-0.0331765044699068,0.0538408407438169,-0.0979222188749986,-0.101407593826423,3,45.57523623,-89.73140911
"8252",-0.156596962069443,-0.182640929870388,0.191615586606417,0.564683331111098,0.200843423981496,-0.206916913268515,-0.402815145951422,-0.269872469226868,-0.0454991426481683,0.0929619067685508,-0.0649633924815021,-0.080277096060172,3,45.57523623,-89.63980265
"8267",0.109061042916665,0.170613232729238,0.0670820941435295,0.506717354722184,0.487905554641202,-0.116408195458348,-0.141442254532365,-0.0598199756759641,0.0752390496782596,0.318163772882713,0.127794063439751,0.0519310129977271,3,45.57523623,-88.26570577
"8268",0.121288064374994,0.162952447259272,0.0454939898842781,0.46534902655867,0.500703867939819,-0.124571304564824,-0.115087919826408,-0.0563516120022882,0.0928239223217702,0.33649124091977,0.143762983016188,0.0996487126365651,3,45.57523623,-88.17409931
"8416",-0.311707894004655,-0.107761861914355,0.161955712449128,0.157354206512366,0.0528500204745228,-0.136626171951377,-0.226001276962961,-0.170330812921293,0.021251574053224,-0.0410806569599345,-0.0364326030903044,0.102771361386601,3,45.48362977,-90.1894414
"8437",-0.033168322224526,0.0666471160023434,0.0349443504281908,0.416615288780861,0.441234592557862,-0.150496572273141,-0.168253703217601,-0.0978281504768574,0.0694910505740722,0.320975241962969,0.152898473766243,0.0461438104629792,3,45.48362977,-88.26570577
"8438",-0.0347756031319477,0.0636231146713158,0.00550405111579266,0.366224833364242,0.458424834791629,-0.170979110245355,-0.14693101916663,-0.101415643525456,0.0920115790694354,0.337731543114216,0.159808415692112,0.0869404014212591,3,45.48362977,-88.17409931
"8440",0.0207928143403251,0.0600600181990671,-0.0403904362592584,0.288517583641976,0.475660638888883,-0.20945445740972,-0.1203273790602,-0.108354988097233,0.117467980331071,0.372240687888905,0.172109862034745,0.19780377444448,3,45.48362977,-87.99088639
"8441",0.0819329271157585,0.0626904224977238,-0.0593376730162163,0.249222986419795,0.486261082766191,-0.240657091150524,-0.10065704814582,-0.0962182615925826,0.153177540995387,0.400503252975284,0.175303425838024,0.288315189187472,3,45.48362977,-87.89927993
"8583",-0.256266175106475,-0.151004944432884,0.120702619560177,0.0327332947376817,-0.074884002534759,-0.118181114388847,-0.160526662925975,-0.158293024469913,-0.00148726031477509,-0.091358885737634,0.0998897703726698,0.137469209520816,3,45.39202331,-90.46426078
"8584",-0.308399009381901,-0.145326072662044,0.116145108125011,0.0498896986728141,-0.0468439890856303,-0.126000111685187,-0.168467903421288,-0.169478180458327,0.000369964578737836,-0.0858449511759432,0.0683458061458282,0.12358363416206,3,45.39202331,-90.37265432
"8605",-0.147783669800958,0.0404584482661789,0.0657451863240794,0.393651535092545,0.33790693912033,-0.186811107152778,-0.224407753937498,-0.138596844099538,0.0332250115624788,0.279056620567872,0.159867687319434,-0.0212861119907757,3,45.39202331,-88.44891868
