"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"5701",0.013805,0.03901,0.0404625,0.0289146666666667,0.05136575,0.06571375,0.0595675,0.0576265,0.05354575,0.0419826666666667,0.00693475,0.0061275,3,46.83891556,-91.02042635
"5812",0.0516025,0.0401425,0.0526875,0.0295846666666667,0.05075825,0.06601125,0.0598925,0.056494,0.05104325,0.040916,0.005981,0.02295,3,46.5179658,-94.12934479
"5836",0.04536,0.0368125,0.0500025,0.028958,0.05121825,0.06576875,0.0596725,0.057304,0.05270575,0.0416573333333333,0.007417,0.008465,3,46.72416957,-91.63629239
"5842",0.032195,0.0370775,0.0429825,0.028838,0.05137575,0.06575375,0.0596475,0.057574,0.05341825,0.0419626666666667,0.0071485,0.003855,3,46.76740244,-91.01029935
"5843",NA,NA,NA,NA,0.05140325,0.06575375,0.0596425,0.0576165,0.05353825,NA,NA,NA,3,46.77428302,-90.90587322
"5949",0.05264,0.0442125,0.0524525,0.0297346666666667,0.05072575,0.06612125,0.060025,0.0564815,0.05107825,0.0408993333333333,0.009306,0.02463,3,46.40731205,-94.52834808
"5968",0.054325,0.0379075,0.052945,0.0291446666666667,0.05102825,0.06587625,0.059815,0.056874,0.05172075,0.0411616666666667,0.00655800000000001,0.02527,3,46.5817039,-92.56124622
"5970",0.0521325,0.0457475,0.051025,0.0290846666666667,0.05107075,0.06585625,0.0597975,0.0569515,0.05189575,0.041366,0.0079985,0.00776999999999999,3,46.59813008,-92.35348784
"5979",0.0423325,0.0345075,0.0512925,0.0288546666666667,0.05127825,0.06580375,0.05974,0.0573365,0.05280825,0.0417266666666667,0.0074465,0.014245,3,46.66747564,-91.41710105
"5980",0.05047,0.0343475,0.0401025,0.0288313333333333,0.05130575,0.06579875,0.059735,0.057384,0.05292825,0.041774,0.00708925,0.016265,3,46.67471809,-91.3129159
"5981",0.0545,0.0341975,0.040955,0.0288246666666667,0.05133825,0.06579875,0.0597325,0.057429,0.05305325,0.0418456666666667,0.00703475,0.01145,3,46.68186787,-91.20870355
