"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"7257",0.0329275,0.013365,0.0311825,0.0183733333333333,0.0276075,0.0239025,0.020675,0.0220925,0.0226025,0.02363,0.0078425,0.00988,-1,46.08529376,-90.39471696
"7258",0.02415,0.0113025,0.0173875,0.0189666666666667,0.0275525,0.02374,0.0206575,0.0219075,0.0225675,0.0236766666666667,0.0029775,0.00739500000000001,-1,46.09162672,-90.29149657
"7260",0.0266625,0.011335,0.0253275,0.0183733333333333,0.0274925,0.0234525,0.0206425,0.0215775,0.022555,0.02379,-0.0051175,0.011445,-1,46.10401685,-90.08498624
"7275",0.028345,0.01499,0.032915,0.0196366666666667,0.028664,0.0232625,0.021115,0.0209525,0.0225475,0.0253533333333333,0.0089975,0.0131325,-1,46.18519968,-88.53345905
"7276",0.028165,0.0154975,0.02492,0.02093,0.02880025,0.023255,0.021135,0.0209725,0.02247,0.0254766666666667,0.008615,0.01024,-1,46.18987375,-88.42987066
"7277",0.0480125,0.0345325,0.038655,0.0278546666666667,0.05232325,0.06617125,0.06029,0.0576615,0.05493575,0.0438926666666667,0.007651,0.01883,3,46.19445542,-88.32626504
"7281",0.0304266666666667,0.020065,0.0315325,0.02062,0.02949325,0.0233875,0.021315,0.0212875,0.022115,0.0259466666666667,0.0082275,0.01743,-1,46.2118576,-87.91167698
"7288",0.04816,0.0265725,0.04438,0.0287546666666667,0.05264075,0.06621625,0.0604575,0.0576215,0.05531575,0.0442626666666667,0.0118435,0.00662749999999999,3,46.23874888,-87.18556302
"7289",0.03128,0.0204725,0.0436725,0.0224266666666667,0.030449,0.023845,0.0219575,0.022275,0.0217125,0.0262666666666667,0.01109,0.0135433333333333,-1,46.24222004,-87.08177716
"7304",0.0299575,0.0249525,0.0493925,0.0231,0.03094675,0.023435,0.02276,0.02337,0.0218275,0.0262466666666667,0.01014,0.01278,-1,46.28315898,-85.52364725
