"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"58",6.24856304036329e-07,5.92953463194266e-07,5.50058218310758e-07,-1.76584650412341e-08,3.02719682208795e-06,8.58393557692753e-06,1.71808473237312e-05,2.12297722143638e-05,1.29944549726117e-05,2.32208107871414e-06,-3.71990091439401e-07,4.56206517354593e-07
"59",4.71109651925572e-07,7.05722743840177e-07,8.41146302334199e-07,5.21739565632215e-07,4.63534792747294e-06,8.81495814013621e-06,1.03670325071593e-05,1.09596764946704e-05,7.07433032691831e-06,2.48166792957497e-06,1.27040413569017e-06,7.68547631623203e-07
"60",9.03269075731745e-07,1.17706518425506e-06,1.3663375448652e-06,5.05869133962361e-07,9.06246426162296e-06,1.79372574093218e-05,2.55631091154718e-05,2.71005828862606e-05,1.74234857888125e-05,5.33381443556795e-06,1.52886680098766e-06,1.35600005298232e-06
"61",-9.01398660846244e-08,-1.07978590874442e-07,-2.3105189877953e-07,8.18798566543052e-08,-1.32339962498617e-06,-1.70960975592499e-06,-1.76916284744773e-06,-1.52195087435193e-06,-1.32958201963889e-06,-1.01797423380837e-06,-5.43968095009678e-07,-2.86059413223063e-07
"62",5.54260476603151e-07,7.06324511565064e-07,8.77853404783057e-07,2.03781043308797e-07,5.6585645555653e-06,1.0773998976803e-05,1.52225982911423e-05,1.60880026605424e-05,1.0528115037207e-05,3.51252778789932e-06,1.10501289120757e-06,9.00411334470714e-07
"63",1.64812432429267e-07,3.89416588322134e-07,1.79276058230744e-07,7.79449817191617e-07,9.06093825043779e-07,3.72329669381209e-06,4.33620116802384e-06,5.19187231961835e-06,2.43315154721131e-06,-4.95372691642026e-07,-1.66667173138745e-07,-5.86547896262192e-08
"64",-3.89032875739527e-07,-4.70640529318003e-07,-9.44666367364098e-07,2.31546891839463e-07,-5.23711507730108e-06,-6.98308187830462e-06,-7.13925818220069e-06,-6.35962627820249e-06,-5.38111560848974e-06,-3.94230547461547e-06,-2.16308381433891e-06,-1.13846519743805e-06
"65",2.90350062729384e-07,5.30802070744755e-07,5.14915735710045e-07,6.4648849089786e-07,4.17832646528445e-06,8.39524080217149e-06,1.01532418426332e-05,9.54532631449906e-06,5.87054758864911e-06,1.66496538399741e-06,6.35132753000958e-07,4.4913159444197e-07
"66",1.53266353879516e-07,2.78957493210186e-07,2.85864763019719e-07,3.03497145285938e-07,2.25184704901286e-06,4.35845961592622e-06,5.18571907881572e-06,4.82587560347681e-06,3.0317721215491e-06,9.67106138548922e-07,4.02290135446437e-07,2.63715349079629e-07
"67",-1.30722566983093e-08,-3.18957672678223e-09,-6.20616473296072e-08,7.75157689616434e-08,-2.72997836000231e-07,-8.13302600872501e-08,1.43095921190602e-07,2.7629134841091e-07,-8.64305241940424e-09,-3.14337357872626e-07,-2.10048719224284e-07,-9.37559524868739e-08
"68",1.04185903504199e-06,1.14983519477555e-06,1.25949926212392e-06,2.03576412171199e-07,7.41584061353281e-06,1.66981088461033e-05,2.78938276017958e-05,3.23818998917355e-05,2.03599641362429e-05,4.97820339882251e-06,6.49215516397342e-07,1.17722489253381e-06
"69",1.62322738990093e-08,1.63764543994195e-07,-1.00204080190163e-07,6.00370842747363e-07,1.28605208313917e-07,2.1585634561564e-06,3.07603390879274e-06,3.24625551354461e-06,1.20603948553838e-06,-9.39427319662422e-07,-6.22200793507225e-07,-2.67580817168299e-07
